final_question_id,question,cleaned_question,usable
FQ00020,Weathsimple Risk Tolerance,What is Wealthsimple's risk tolerance for investment portfolios?,True
FQ00021,Can I put less into my RRSP now that I'm paying for CPP2?,Is it possible to contribute less to my RRSP since I am paying for CPP2?,True
FQ00022,How does How trading apps may nudge your behaviour affect a retail investor?,How do trading apps' potential influences on behavior impact retail investors?,True
FQ00023,Should I use my investments to pay down my mortgage?,Is it advisable to utilize investments for mortgage repayment?,True
FQ00024,How does Research & reports affect a retail investor?,What is the impact of research and reports on a retail investor?,True
FQ00025,Mutual Funds Vs ETFs,Comparing Mutual Funds and Exchange-Traded Funds (ETFs),True
FQ00026,Just XEQT forever?,Should I Invest in XEQT Permanently?,True
FQ00027,What risks should I consider before investing in Why does risk matter in investing??,What risks should I consider before investing in why does risk matter in investing?,True
FQ00028,How does 1. Family and friends affect a retail investor?,What is the impact of family and friends on a retail investor in Canada?,True
FQ00029,What should I know about How annuities work before investing?,What key information is essential to understand about how annuities function before making an investment?,True
FQ00030,De risk pension?,How to reduce risk in a pension?,True
FQ00031,Not owing taxes? To use or not to use RRSP and FHSA deductions,Should one utilize RRSP and FHSA deductions if there is no outstanding tax liability?,True
FQ00032,BMO now offers commission free trading for multiple ETFs.,Is it true that BMO now offers commission-free trading for several Exchange-Traded Funds (ETFs)?.,True
FQ00033,When to contribute to RRSP?,At what point should contributions be made to a Registered Retirement Savings Plan (RRSP)?,True
FQ00034,What is the best ETF for more tech exposure ? Currently just XEQT holding.,"Which is the best additional ETF to gain more technology exposure, given that XEQT is currently held?",True
FQ00035,How does 6. Review account statements affect a retail investor?,What is the impact of regularly reviewing account statements on a retail investor?,True
FQ00036,"""51% of Canadians retire on less than $15k per year. Only 3% retire on $60k or more."" Is this actually true? If not what are the actual numbers? Are part of the 51%?","What is the percentage of Canadians retiring with an annual income less than $15,000 and those retiring with $60,000 or more, and are these figures accurate? If not, what are the actual percentages and does this include me (the respondent) in the 51% group?",True
FQ00037,US stocks reporting of foreign assets,Reporting of Foreign Assets by US Stocks,True
FQ00038,"Almost got scammed by a MLM , Someone tell me how do I actually invest my money.",How does one effectively invest personal funds in legitimate investment opportunities?,True
FQ00039,Should I Sell My $30K Pokémon Collection to Max Out My TFSA &amp; FHSA?,"Should I sell my $30,000 Pokemon collection to max out my TFSA (Tax-Free Savings Account) and FHSA (First Home Savings Account)?",True
FQ00040,"CPP Investments earned 3.8% in third quarter, net assets grew to $699.6 billion",What was the return percentage and the total net asset value of CPP Investments for the third quarter?,True
FQ00041,What should I know about Individual Pension Plans (IPPs) before investing?,What key factors should be considered about Individual Pension Plans (IPPs) prior to investment?,True
FQ00042,RRSP Maxed! Need advice on TFSA Portfolio,Advice needed for TFSA Portfolio as RRSP is maxed out.,True
FQ00043,What risks should I consider before investing in What are the risks of investing in mutual funds??,What are the risks associated with investing in mutual funds?,True
FQ00044,"I'm a Canadian and hold many USA stocks in my portfolio. If I still have them in my portfolio when I die, will my estate owe anything to IRA after my death?",Is there any obligation for a Canadian estate to pay to an IRA (Individual Retirement Account) following the death of a Canadian individual who held US stocks in their portfolio?,True
FQ00045,Environmentally Conscious ETFs?,Are there Environmentally Conscious Exchange-Traded Funds (ETFs) available in Canada?,True
FQ00046,What should I know about Out of country travel medical insurance before investing?,What is important to know about out-of-country travel medical insurance prior to making an investment?,True
FQ00047,What should I know about Life Events before investing?,What factors related to life events should be considered before making an investment?,True
FQ00048,"Traveling soon, do I use Amex Cobalt or Wealthsimple Visa for everything?",Should travel expenses be made using Amex Cobalt or Wealthsimple Visa Card?,True
FQ00049,How does What is a market bubble? affect a retail investor?,What impact does a market bubble have on a retail investor?,True
FQ00050,How does How to invest for growth affect a retail investor?,What is the impact of growth investment strategies on retail investors?,True
FQ00051,100% XEQT in TFSA. At what age should I reduce my risk tolerance and start moving to bonds? I’m 35,"At what age should an individual aged 35, who has invested 100% of their Tax-Free Savings Account (TFSA) in XEQT, consider reducing their risk tolerance and starting to move towards bonds?",True
FQ00052,Rbc has insane fees in self- directed investing,Does RBC have high fees for self-directed investing?,True
FQ00053,What should I know about 1. Active vs. Passive before investing?,What are the key differences between Active and Passive investment strategies before making an investment decision in Canada?,True
FQ00054,What should I know about How can you decide your investing strategy? before investing?,How should one determine their investment strategy prior to investing?,True
FQ00055,How does What is loss aversion? affect a retail investor?,How does loss aversion impact a retail investor?,True
FQ00056,Poor millionaire homeowners: Retirement with lots of home equity and not enough savings,Millionaire homeowners struggling in retirement due to insufficient savings despite substantial home equity,True
FQ00057,How does How does your time horizon impact your investment goals? affect a retail investor?,How does the time horizon impact investment goals for a retail investor?,True
FQ00058,How does Budgeting in retirement affect a retail investor?,What is the impact of budgeting during retirement on a retail investor?,True
FQ00059,VFV + QQC vs VEQT,Comparison between VFV and QQC from iShares versus VEQT from Vanguard in terms of return,True
FQ00060,"Maxed TFSA &amp; RRSP, not sure mortgage makes sense",Is it advisable to take out a mortgage when Tax-Free Savings Account (TFSA) and Registered Retirement Savings Plan (RRSP) are already maxed out?,True
FQ00061,XEQT vs VEQT vs QQQ,"Comparing XEQT, VEQT, and QQQ: Which has a better return on investment?",True
FQ00062,How does Tracking your investing returns affect a retail investor?,What is the impact of tracking investing returns on a retail investor?,True
FQ00063,Is SnP 500 the best option to put extra cash in for someone who doesn't like to take big risk?,"Is the S&P 500 a suitable investment option for an individual averse to high risk, given that they have additional funds?",True
FQ00064,VEQT + VFV (Smart or Recency Bias?),Is there a Smart or Recency Bias when investing in VEQT and VFV?,True
FQ00065,What should I know about 3 key responsibilities before investing?,What are the three essential responsibilities to consider before making an investment?,True
FQ00066,What should I know about GICs (Guaranteed investment certificates) before investing?,What essential information should be considered before investing in Guaranteed Investment Certificates (GICs) in Canada?,True
FQ00067,What should I know about How trading apps may nudge your behaviour before investing?,"What are the influences of trading apps on investment behavior, specifically nudges prior to investing?",True
FQ00068,Does VFV dividend match S&amp;P500?,Does the VFV dividend match the S&P 500 dividend?,True
FQ00069,To RRSP or not to RRSP,Should I contribute to a Registered Retirement Savings Plan (RRSP) or not?,True
FQ00070,How does How do behavioural biases influence investors during market bubbles? affect a retail investor?,How do behavioral biases impact a retail investor during market bubbles?,True
FQ00071,TFSA New Contribution Room Officially $7000 in 2024,Is the official Tax-Free Savings Account (TFSA) contribution room for the year 2024 $7000?,True
FQ00072,Our experience opening an FHSA: Yikes,Our experience opening an FHSA: Yikes,True
FQ00073,How does What is a pension plan and how does it work? affect a retail investor?,What is the impact of a pension plan on a retail investor?,True
FQ00074,"Bay Street is fighting over high-interest ETFs that retail investors love, sparking a federal review","Is there a debate on high-interest ETFs among Bay Street participants, which have gained popularity among retail investors, leading to a federal review?",True
FQ00075,How does How and why to insure your home affect a retail investor?,"Does home insurance have an impact on the financial investments of a retail investor, and if so, how and why?",True
FQ00076,How does How power of attorney works affect a retail investor?,How does the power of attorney impact a retail investor?,True
FQ00077,What should I know about Community outreach before investing?,What is the importance and relevant information to consider about community outreach when making investment decisions?,True
FQ00078,Suggestions to couple with VFV?,Recommendations for pairing investments with the ETF VFV (iShares S&P/TSX 60 Index)?,True
FQ00079,How does Tracking your returns affect a retail investor?,What is the impact of tracking one's investment returns on a retail investor?,True
FQ00080,What should I know about 8. How will you work with me? before investing?,What information should I expect when working with a financial advisor prior to investment?,True
FQ00081,What should I know about 2. Trailing commissions before investing?,What is essential to understand about trailing commissions prior to investment?,True
FQ00082,How does Gaming the system: Are you being influenced when trading online? affect a retail investor?,How does 'Gaming the System' influence a Retail Investor in Online Trading?,True
FQ00083,How does Take the love and money quiz affect a retail investor?,What is the impact of the 'Take the Love and Money Quiz' on a retail investor?,True
FQ00084,What risks should I consider before investing in What does volatility have to do with investment risk??,"What risks should I consider before investing, specifically concerning the relationship between volatility and investment risk?",True
FQ00085,What should I know about 1. Family and friends before investing?,What factors should be considered about family and friends prior to making investments?,True
FQ00086,"Cost effective, low/no-risk USD to CDN currency conversation method?",What is a cost-effective and low/no-risk method for converting USD to CAD?,True
FQ00087,How does Small business cash flow affect a retail investor?,Does the cash flow of small businesses impact the investments of retail investors?,True
FQ00088,Does wealthsimple have higher spread for veqt than xeqt,Does Wealthsimple offer a wider bid-ask spread for VEQT compared to XEQT?,True
FQ00089,What should I know about Research & reports before investing?,What key points should be considered about research and reports prior to making an investment?,True
FQ00090,Any advantage to an RRSP when you'll remain in a high tax bracket when retired?,Is there any advantage to contributing to an RRSP if one expects to be in a high tax bracket upon retirement?,True
FQ00091,How does How to close a bank account affect a retail investor?,What is the impact on a retail investor when closing a bank account?,True
FQ00092,Buying VFV in RRSP account,Is it advisable to purchase the ETF 'VFV' within a Registered Retirement Savings Plan (RRSP) account?,True
FQ00093,Wealthsimple Chequing Account functioning as credit card,Is Wealthsimple's Chequing Account used as a credit card?,True
FQ00094,What should I know about Putting your interests first before investing?,What are the key considerations for prioritizing one's own interests when making investment decisions?,True
FQ00095,How does Take the stress out of budgeting affect a retail investor?,What impact does 'Take the Stress Out of Budgeting' have on a Retail Investor?,True
FQ00096,Should I OPEN a FHSA even if I am not planning on buying a house?,Is it advisable to open a First Home Savings Account (FHSA) if one is not planning on purchasing a home?,True
FQ00097,How does How chequing accounts work affect a retail investor?,What is the impact of checking account operations on a retail investor?,True
FQ00098,CRA My Account now has 2025 FHSA participation room statements,Does the CRA (Canada Revenue Agency) My Account provide 2025 FHSA (First Home Savings Account) participation room statements?,True
FQ00099,What should I know about What questions should you ask before buying a new investment? before investing?,What key questions should one consider before making an investment?,True
FQ00100,What should I know about What to expect at your first meeting before investing?,What information should be expected during a first meeting before investing in Canada?,True
FQ00101,How does If you spend more than you earn affect a retail investor?,What is the impact of spending more than earning on a retail investor?,True
FQ00102,Wealthsimple vs Other Major Banks,Comparison between Wealthsimple and Major Canadian Banks for Investment Services,True
FQ00103,Foreign Stock Question on Tax Return,Is there a specific question related to foreign stock investments on a Canadian tax return?,True
FQ00104,What should I know about How to make an investment policy statement before investing?,What are the essential elements of an Investment Policy Statement (IPS) prior to investing?,True
FQ00105,Sell stock before year end for tax free capital gains?,Can stocks be sold before the end of a year to qualify for tax-free capital gains in Canada?,True
FQ00106,"VDY, VFV and XEQT — too much?","Is holding multiple ETFs such as VDY, VFV, and XEQT excessively diversified for personal finance and investing?",True
FQ00107,How does Role of the executor affect a retail investor?,What is the impact of an executor on a retail investor's portfolio?,True
FQ00108,Can someone ELI5 for me the Wealthsimple direct indexing vs something like VFV?,Explain in layman's terms the difference between Wealthsimple Direct Indexing and a passive ETF such as VFV,True
FQ00109,What should I know about Bank accounts before investing?,What are essential factors to consider about bank accounts prior to making an investment?,True
FQ00110,How does Planning for long-term care affect a retail investor?,What is the impact of long-term care planning on a retail investor?,True
FQ00111,How does When could your risk profile change? affect my investment decisions?,Under what circumstances might a change in risk profile impact my investment decisions?,True
FQ00112,What should I know about Financial steps for getting ready for retirement before investing?,What key factors should be considered in financial preparation for retirement prior to investing?,True
FQ00113,17 about to inherit a lot of money,The individual is about to inherit a significant amount of money.,True
FQ00114,Wealthsimple Tax is pretty good!,Is Wealthsimple Tax considered good for personal tax filing?,True
FQ00115,How do I know if a financial advisor is properly registered?,Is it possible to verify if a financial advisor is properly registered in Canada?,True
FQ00116,How does Managing your finances solo affect a retail investor?,What is the impact of self-management on a retail investor's financial performance?,True
FQ00117,How does Check your crypto knowledge affect a retail investor?,What is the impact of checking one's knowledge about cryptocurrency on a retail investor?,True
FQ00118,How does What is the risk-return relationship? affect my investment decisions?,What is the impact of the risk-return relationship on investment decisions?,True
FQ00119,How does Preparing for financial emergencies affect a retail investor?,What is the impact of preparing for financial emergencies on a retail investor?,True
FQ00120,Best low-risk place to park $17k for 1 year in Canada?,"What is the best low-risk investment option for a Canadian resident to put $17,000 into for one year?",True
FQ00121,How does What is a TFSA? affect a retail investor?,What is the impact of a Tax-Free Savings Account (TFSA) on a retail investor?,True
FQ00122,What risks should I consider before investing in What are the risks of actively managed ETFs??,What risks should I consider before investing in actively managed ETFs?,True
FQ00123,Can I sell my VOO shares that I have in my TFSA to buy VFV shares without penalty?,Is it possible to sell VOO shares held within a Tax-Free Savings Account (TFSA) and purchase VFV shares without incurring a penalty?,True
FQ00124,What should I know about 10 ways to make it easier to save before investing?,What are the key points to consider when making it simpler to accumulate funds prior to investment?,True
FQ00125,"I have money invested in TD Direct Investing XEQT in TFSA. I have automated contributions, but they sit in cash until I buy in. With the cost being about $10 per trade, how often do you suggest I buy?","What is the optimal frequency for buying stocks when automating contributions to TD Direct Investing XEQT in a TFSA account, given a trading fee of approximately $10 per transaction?",True
FQ00126,Are Canadians retiring with little more common than we thought?,Is it more common than previously thought for Canadians to retire with little savings?,True
FQ00127,How does Your Trusted Contact Person and why they matter affect a retail investor?,What is the role and importance of a Trusted Contact Person for a retail investor in Canada?,True
FQ00128,How does Do you give financial advice on social media? affect a retail investor?,How does giving financial advice on social media impact a retail investor?,True
FQ00129,Salary jumped from $80k - $200k; Empty RRSP and $42k in student debt,"What is the financial impact on retirement savings (RRSP) for an individual with a salary jump from $80,000 to $200,000, no existing RRSP funds, and $42,000 in student debt?",True
FQ00130,How to mitigate sequence of returns risk as you approach retirement?,How can one minimize Sequence of Returns Risk near retirement in personal finance and investing?,True
FQ00131,Is it good idea to use FHSA as investment account in stocks?,Should a Federal Home Savings Account (FHSA) be used for stock investments?,True
FQ00132,Article: condos no longer considered a good investment,"Is purchasing a condo currently considered a poor investment, as suggested by the article?",True
FQ00133,How does 4. Ask questions. Then ask more questions. affect a retail investor?,How does the approach of asking questions and then asking more questions impact a retail investor?,True
FQ00134,I wanna start buying stocks,I want to start investing in stocks (Canadian context),True
FQ00135,How relevant is the 20% Global ETF &amp; 80% Bond portfolio today?,"How relevant is a 20% Global ETF and 80% Bond portfolio today, in terms of personal finance and investing?",True
FQ00136,What happens if I over-contribute to my FHSA tax deductions?,What are the consequences of exceeding the contribution limit for Federal Home Savings Account (FHSA) tax deductions?,True
FQ00137,What should I know about 6. Compare products and services before investing?,What factors should be considered when comparing investment products and services in Canada?,True
FQ00138,What risks should I consider before investing in What’s your risk profile??,"What risks should I consider before investing, given my risk profile?",True
FQ00139,How does Understanding crypto asset trading platforms affect a retail investor?,How does understanding cryptocurrency trading platforms impact a retail investor?,True
FQ00140,Transferring stocks from non-registered account into a TFSA,Transferring Stocks from a Non-Registered Account to a Tax-Free Savings Account (TFSA),True
FQ00141,18 y/o - FHSA vs TFSA,"At age 18, should one choose a Federal Home Savings Account (FHSA) over a Tax-Free Savings Account (TFSA)?",True
FQ00142,What should I know about What are the costs associated with LSIFs? before investing?,What are the costs associated with LSIFs (Liquefied Natural Gas Infrastructure Funds) that an investor should consider before investing?,True
FQ00143,What should I know about 3. Transparency before investing?,What aspects of transparency are important to consider before making an investment in Canada?,True
FQ00144,What should I know about What investors should know about the DSC ban before investing?,What key points should investors consider regarding the DSC ban prior to investment?,True
FQ00145,What should I know about How to budget when you’ve started living on your own before investing?,"What should one consider when budgeting for the first time while living independently, prior to investing?",True
FQ00146,What should I know about Service: Recommending investment products and services before investing?,What should an investor consider when considering investment product and service recommendations prior to investing?,True
FQ00147,Switching from sector fund to XEQT or North American value?,Should I switch from a sector fund to XEQT (iShares Core S&P Total U.S. Stock Market ETF) or North American Value Fund?,True
FQ00148,"27F, high risk tolerance, self-managing ~$700k inheritance — thoughts?",What are the thoughts on a high-risk investment strategy for a $700k inheritance managed by an individual with a high risk tolerance (aged 27)?,True
FQ00149,"What stocks to buy? How do you decide which to buy? I mostly only know of xeqt,xgro etc",Which specific stocks should I consider investing in? Could you explain the process for determining which stocks to buy? My current knowledge is limited to investments such as XEQT and XGRO.,True
FQ00150,Choosing between life insurance or TFSA for child,Should a parent choose between purchasing life insurance or contributing to a Tax-Free Savings Account (TFSA) for their child?,True
