question,label,cleaned_question,usable,final_question_id
Are there any risks to setting up fraud/credit alerts with Equifax?,factual,What are the risks of setting up fraud/credit alerts with Equifax?,True,FQ00047
How does 4. Organize your account statements affect a retail investor?,factual,How does organizing account statements affect a retail investor?,True,FQ00048
How does What is loss aversion? affect a retail investor?,factual,What is the impact of loss aversion on a retail investor?,True,FQ00049
"How does DSC holdings before June 1, 2022 affect a retail investor?",factual,"How did DSC Holdings' situation on June 1, 2022 impact retail investors?",True,FQ00050
"EQ Bank reducing HISA, TFSA and RRSP interest to 1.25%",factual,"Equity (EQ) Bank is lowering the interest rates for High Interest Savings Account (HISA), Tax-Free Savings Account (TFSA), and Registered Retirement Savings Plan (RRSP) to 1.25%",True,FQ00051
How does Can you be both an active and passive investor? affect a retail investor?,factual,How can a retail investor be both an active and passive investor?,True,FQ00052
How does Finfluencer powers of persuasion affect a retail investor?,factual,What is the impact of Finfluencer's power of persuasion on a retail investor?,True,FQ00053
How does Selling your home without an agent affect a retail investor?,factual,Does selling a home without an agent impact a retail investor?,True,FQ00054
What should I know about Choosing an RESP provider before investing?,factual,Choosing an RESP provider,True,FQ00055
What should I know about Changes to expect before investing?,factual,Changes to expect before investing,True,FQ00056
How does How to make an investment policy statement affect a retail investor?,factual,How does creating an investment policy statement impact a retail investor?,True,FQ00057
How does 3. Should you rebalance your portfolio? affect a retail investor?,factual,Rebalancing Portfolio and its Impact on Retail Investors,True,FQ00058
"Non-US (Canada, Europe, other developed countries) XEQT alternative?",open_ended,"What are the alternatives to XEQT in non-US countries like Canada, Europe, or other developed nations?",True,FQ00059
"One of those ""Should we just use our investments to pay off our mortgage"" questions.",factual,Should we use our investments to pay off our mortgage?,True,FQ00060
What should I know about Communicating your estate plan before investing?,factual,Communicating Your Estate Plan Before Investing - What are the key points to consider?,True,FQ00061
How does Service: Providing information about products and services affect a retail investor?,factual,How does the service of providing information about products and services impact a retail investor?,True,FQ00062
Switching to Wealthsimple as my primary bank,factual,Will I make Wealthsimple my primary bank?,True,FQ00063
What should I know about Make an investment recovery plan before investing?,factual,What are the steps to create an investment recovery plan?,True,FQ00064
"Feel sad buying VFV, why is it still so low?",open_ended,Why is VFV still low despite being purchased?,True,FQ00065
My husband is inveting high risk only in Wealth Simple with a robo adivisor. He doesn't know anything about investment and just rely on a robo advisor. What do you think about that?,open_ended,"What is the opinion about my husband investing high risk funds only in Wealth Simple with a robo advisor, as he has limited knowledge about investments?",True,FQ00066
What should I know about Other types of workplace savings plans before investing?,factual,Other types of workplace savings plans,True,FQ00067
Tax efficient broad market ETF to hold in a corporation,factual,Recommend a tax-efficient broad market ETF for holding within a corporation,True,FQ00068
What should I know about Out of country travel medical insurance before investing?,factual,Information needed about out-of-country travel medical insurance before investment,True,FQ00069
My journey to $1M RRSP started 25 years ago,factual,The individual's journey towards accumulating $1M in their RRSP began 25 years ago.,True,FQ00070
What should I know about Digital coin basics before investing?,factual,"Before investing in digital coins, what are the basic things one should know?",True,FQ00071
is putting all my money in XEQT at 30yo until retirement and not looking or touching it a good plan?,factual,Is investing all money in XEQQ at age 30 until retirement without any intervention a sound strategy?,True,FQ00072
"Ben Felix Article: CPP is one of the best retirement assets money can buy, despite what the skeptics say",factual,Is CPP one of the best retirement assets?,True,FQ00073
"I Feel Stupid For Asking This, How to Start Investing?",open_ended,How to start investing?,True,FQ00074
Why is VFV.TO and ZSP.TO down 1% today when S&amp;P is up .75%?,factual,Why is VFV.TO and ZSP.TO decreased by 1% while S&P is increased by 0.75%?,True,FQ00075
"TFSA Maxed, RRSP Maxed, FHSA Maxed, what’s next?",factual,TFSA_Maxed_RRSP_Maxed_FHSA_Maxed_whats_next,True,FQ00076
How does How do behavioural biases influence investors during market bubbles? affect a retail investor?,factual,How does behavioral bias influence a retail investor during market bubbles?,True,FQ00077
Young Canadians Taking mini Retirement Breaks for Travel and Hobbies,factual,Trend of young Canadians taking mini retirement breaks for travel and hobbies,True,FQ00078
If there’s zero benefit to over contributing to your RRSP why are the penalties so harsh?,factual,Why are the penalties for overcontributing to an RRSP so harsh?,True,FQ00079
Should I invest in XEQT and S&amp;P 500 at the same time?,factual,Investment in XEQT and S&amp;P 500 simultaneously,True,FQ00080
What should I know about How to manage money as a couple before investing?,factual,Prerequisites for managing money as a couple before investing,True,FQ00081
My review of the Wealthsimple Visa Infinite,factual,Review of the Wealthsimple Visa Infinite,True,FQ00082
How does Why is choosing your asset mix important? affect a retail investor?,factual,What is the impact of choosing an asset mix on a retail investor?,True,FQ00083
What should I know about Service: Collecting your personal and financial information before investing?,factual,Collecting personal and financial information before investing,True,FQ00084
How does Registration categories affect a retail investor?,factual,How do registration categories impact a retail investor?,True,FQ00085
How does Real estate affect a retail investor?,factual,How does real estate impact a retail investor?,True,FQ00086
What should I know about How power of attorney works before investing?,factual,How does power of attorney work before investing?,True,FQ00087
Should I withdraw from RRSP to pay off 23% loan??,factual,Is it advisable to withdraw from RRSP to pay off a 23% loan?,True,FQ00088
What should I know about Crypto assets before investing?,factual,What should one know about crypto assets before investing?,True,FQ00089
What risks should I consider before investing in What are the risks of leveraged ETFs??,factual,What are the risks of leveraged ETFs?,True,FQ00090
Should I sell at a loss? I have three stocks... two weed and one banking stock... all are down... total portfolio is down 86% with $14000 put in ...,factual,"The user's total portfolio is down 86% with an investment of $14000, consisting of three stocks: two weed and one banking stock.",True,FQ00091
What should I know about Making RRSP withdrawals before and after you retire before investing?,factual,Making RRSP withdrawals rules for before and after retirement,True,FQ00092
Suggested CAD ETF's for high growth / high risk?,open_ended,Recommendations for high-risk and high-growth Canadian Dollar (CAD) Exchange-Traded Funds (ETFs),True,FQ00093
WealthSimple risk level,factual,What is the risk level for WealthSimple?,True,FQ00094
Planning for retirement - Buying a rental property vs maxing out RRSPs,factual,Retirement planning comparison between buying a rental property and maxing out RRSPs,True,FQ00095
How does Preparing a tax return for someone who has died affect a retail investor?,factual,Does preparing a tax return for a deceased individual impact a retail investor?,True,FQ00096
"Inflation going up, real estate unaffordable, stocks/etfs going down. Where do you park your investments dollars these days?",open_ended,"Where are investments dollars parked during inflation, high real estate prices, and market downturn?",True,FQ00097
What should I know about ESG ratings and retail investor decision making before investing?,factual,ESG ratings for retail investor decision making - Facts about ESG ratings impact and their relevance for investors,True,FQ00098
Just opened and funded a FHSA at Questrade!,factual,Funded a FHSA (First Home Savings Account) at Questrade.,True,FQ00099
How does What is a TFSA? affect a retail investor?,factual,What affects a retail investor due to a TFSA?,True,FQ00100
American ETFs vs. Canadian ETFs: Which one should I invest in?,open_ended,"Which ETF, American or Canadian, is suitable for investment?",True,FQ00101
How does What is a market bubble? affect a retail investor?,factual,What impact does a market bubble have on a retail investor?,True,FQ00102
"I ran the math on Bank Mutual Funds vs. ETFs over 25 years. 
The difference is literally a Ferrari.",factual,Comparison of returns between Bank Mutual Funds and ETFs over 25 years,True,FQ00103
Girlfriend parents wants to help us buy a condo by putting up 50% of our downpayment as an investment in the property. How will this affect us ?,factual,How does having girlfriend's parents contribute 50% of the downpayment as an investment in a condo affect us?,True,FQ00104
How does How power of attorney works affect a retail investor?,factual,How does power of attorney affect a retail investor?,True,FQ00105
Is anyone selling in anticipation of the stock markets tanking due to the war?,factual,Is anyone selling stocks in anticipation of market decline due to war?,True,FQ00106
"PSA: Turbotax no longer allows you to report investment income for free, and will trick you into paying",factual,Does TurboTax no longer allow reporting of investment income for free? Will it attempt to trick users into paying?,True,FQ00107
Time to get out of my crypto investments?,open_ended,Should I sell my cryptocurrency investments?,True,FQ00108
Planning on using CASH.TO instead of Wealthsimple Cash for short-term savings,factual,Using CASH.TO instead of Wealthsimple Cash for short-term savings,True,FQ00109
What should I know about Real estate before investing?,factual,What are key points to consider before investing in real estate?,True,FQ00110
"VDY, VFV and XEQT — too much?",open_ended,"Is VDY, VFV and XEQT investing too much?",True,FQ00111
What should I know about Information by province and territory before investing?,factual,Information required before investing by province and territory,True,FQ00112
How does What is an investment policy statement? affect a retail investor?,factual,What is the effect of an Investment Policy Statement on a Retail Investor?,True,FQ00113
How does Get Smarter About Trading affect a retail investor?,factual,What is the impact of Get Smarter About Trading on a retail investor?,True,FQ00114
How does Five ways to find money to save affect a retail investor?,factual,What is the impact of five methods for finding money to save on a retail investor?,True,FQ00115
FHSA contributors may be experiencing delays in getting their tax refund,factual,Are there delays for FHSA contributors in receiving their tax refund?,True,FQ00116
How does What are crypto assets? affect a retail investor?,factual,What impact do crypto assets have on a retail investor?,True,FQ00117
How does 6. What is your investment philosophy? affect a retail investor?,factual,What is the impact of an investment philosophy '6. What is your investment philosophy' on a retail investor?,True,FQ00118
What should I know about FHSA participation room?,open_ended,What are the details about FHSA participation room?,True,FQ00119
Using Wealthsimple as my primary bank,factual,Using Wealthsimple as my primary bank,True,FQ00120
Won't the FHSA just increase demand and drive prices higher?,factual,Will FHSA increase demand and drive prices higher?,True,FQ00121
What should I know about How can you diversify your portfolio? before investing?,factual,How to diversify a portfolio before investing?,True,FQ00122
RRSP Withholding tax - XEQT vs using IBKR to buy US ETFs,factual,Comparison of RRSP withholding tax for XEQT and using IBKR to buy US ETFs,True,FQ00123
What should I know about 3 key responsibilities before investing?,factual,Key Responsibilities Before Investing,True,FQ00124
Buying VFV in RRSP account,factual,VFV purchase in an RRSP account,True,FQ00125
If I have a government pension do I need an RRSP?,factual,Does one needing an RRSP if they have a government pension?,True,FQ00126
Using TFSA savings for future home purchase? When to sell ETFs?,open_ended,When to sell ETFs for using TFSA savings in a future home purchase?,True,FQ00127
How does When could your risk profile change? affect my investment decisions?,open_ended,How does a changing risk profile affect my investment decisions?,True,FQ00128
VFV vs S&amp;P 500 returns,factual,Comparison of VFV returns and S&P 500 returns,True,FQ00129
How does What to know if you are named as a Trusted Contact Person affect a retail investor?,factual,What does it mean to be a Trusted Contact Person for a retail investor?,True,FQ00130
Any reason NOT to transfer everything to Wealthsimple,open_ended,What are the reasons not to transfer all assets to Wealthsimple?,True,FQ00131
I wanna start buying stocks,factual,How can I start buying stocks?,True,FQ00132
How does Reducing the tax taken from your pay cheque affect a retail investor?,factual,How does reducing taxes on paycheck affect a retail investor?,True,FQ00133
How does 3. Your bank affect a retail investor?,factual,How does the bank impact a retail investor?,True,FQ00134
"How much risk is there that tax rates for RRSP withdrawal will be significantly higher in say 30, 40, 50 years? How much control does the fed have over rrsp money?",factual,"What is the potential for increased tax rates on RRSP withdrawals in 30, 40, or 50 years? What level of control does the federal government have over RRSP funds?",True,FQ00135
What risks should I consider before investing in What is the risk-return relationship??,open_ended,What are the risks to consider before investing in the risk-return relationship?,True,FQ00136
Wealthsimple Chequing Account functioning as credit card,open_ended,Is Wealthsimple Chequing Account functioning as a credit card?,True,FQ00137
How does Planning for long-term care affect a retail investor?,factual,How does planning for long-term care impact a retail investor?,True,FQ00138
What happens to those in Canada who don't save for retirement?,factual,What is the consequence for individuals in Canada who do not save for retirement?,True,FQ00139
"Maxed all accounts, looking for a halal ETF, what are my options?",factual,Seeking halal ETFs as all accounts have been maxed out.,True,FQ00140
What should I know about Five ways to find money to save before investing?,open_ended,Five strategies for saving money prior to investment,True,FQ00141
What should I know about Ways to manage your saving and investing during a recession before investing?,factual,Ways to manage saving and investing during a recession,True,FQ00142
How does Digital tokens: A reality check affect a retail investor?,factual,How does Digital Tokens: A Reality Check impact a Retail Investor?,True,FQ00143
How does Understanding risk affect my investment decisions?,factual,How does understanding risk affect investment decisions?,True,FQ00144
What should I know about Understanding key features in banks’ debt and preferred share offerings before investing?,factual,Key features in banks' debt and preferred share offerings before investing,True,FQ00145
"(Ontario) My friend who's a single mother is struggling financially and is at risk of being homeless, does anyone have any advice?",open_ended,"My friend (in Ontario), a single mother, is financially struggling and is at risk of becoming homeless. Do you have any advice?",True,FQ00146
buying stocks on wealth simple? VS life insurance from equity life,comparison,buying stocks versus buying life insurance from Equity Life,True,FQ00147
Wealthsimple Unveils New Visa Infinite Privilege Card,factual,What is the name of the new card unveiled by Wealthsimple?,True,FQ00148
"CPP is one of the best retirement assets money can buy, despite what the skeptics say",factual,Is CPP one of the best retirement assets money can buy?,True,FQ00149
XEQT too aggressive for someone retiring in a few years?,factual,Is XEQT too aggressive for someone retiring in a few years?,True,FQ00150
